ID;Pesquisador Responsável;Nome;Natureza de Autarquia;Criada por Lei;Resulta de Fusão;Competência Normativa;Autonomia Financeira;Autonomia Patrimonial;Autonomia Técnica;Autonomia Administrativa;Poder Concedente;Poder Sancionatório;Poder TAC;Programa de Compliance;Taxa de Regulação;Multa;Assessoria Jurídica;Assessores Procuradores;Algum Procurador;Assessoria Vinculada PGE;Ouvidoria;Ouvidor Mandato Fixo;Servidores Estatutários;Participação Social;Agenda Regulatória;Análise de Impacto;Nomeação Exclusivamente pelo Governador;Eleição Interna Presidente;Mandato Definido;Mandato Não-coincidente Diretores;Mandato Não-coincidente Governador;Tempo Mandato (meses);Experiência Prévia;Tempo Experiência (anos);Sabatina Assembleia;Aprovação Assembleia;Vedação Filiação Partidária;Alguma Vedação Setor Público;Algum Impedimento Prévio Setor;Quarentena;Tempo Quarentena (meses);Disciplina Mandatos Provisórios;Indicação Livre Mandatos Provisórios;Prevê Casos Exoneração;Prevê Procedimento Exoneração
4;Soraya;ARSEPAM;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;48;0;0;0;0;1;0;0;0;0;0;1;0;0
25;Soraya;ARTESP;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;48;1;5;0;0;0;0;0;0;0;0;1;1;0
28;Soraya;ATR;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;48;0;0;0;1;0;0;0;0;0;0;0;0;0
10;Soraya;MOB;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;Thierry;AGEPAR;1;1;0;0;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;0;1;1;0;1;1;0;1;-1;1;48;1;5;0;1;0;1;1;1;6;0;0;0;0
41;Thierry;AGER;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;48;1;0;0;1;-1;1;1;1;6;1;1;1;0
51;Thierry;AGERGS;1;1;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;1;-1;1;48;1;5;0;1;0;1;1;1;6;0;0;0;0
38;Thierry;AGR;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;48;0;0;0;1;0;0;1;1;4;0;0;1;1
53;Thierry;ARESC;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;0;1;1;1;48;0;0;1;1;0;0;1;1;-1;0;0;-1;1
32;Thierry;ARSAP;1;1;0;-1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;48;0;0;1;1;0;0;1;1;12;1;1;1;-1
50;Thierry;ARSEP;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;1;1;1;0;48;1;0;0;1;0;0;1;1;6;1;1;1;0
56;Valeria;AGRESE;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;0;24;1;-1;0;0;1;0;0;1;12;1;0;1;1
44;Valeria;ARPB;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;48;1;-1;0;0;0;0;0;1;12;0;0;1;1
46;Valeria;ARPE;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0;48;0;-1;1;1;0;0;0;1;4;1;0;1;0
31;Valeria;ARSAL;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;36;1;-1;0;1;1;0;0;1;12;1;0;1;1
37;Valeria;ARSP;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;60;0;-1;0;0;0;0;0;1;12;1;1;1;0
35;Valéria;AGERBA;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;5;0;0;1;0;0;1;12;1;0;1;0
34;Valéria;AGERSA;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;-1;0;0;0;0;1;1;6;0;0;0;0
48;Valéria;AGETRANSP;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;0;1;1;0;1;1;12;1;0;1;1
